species	longitude	latitude
Streptanthus_tortuosus	-120.71	39.57
Streptanthus_tortuosus	-120.32	39.3
Streptanthus_tortuosus	-118.58	36.43
Streptanthus_tortuosus	-123.09	41.58
Streptanthus_tortuosus	-122.2	41.36
Streptanthus_tortuosus	-119.51	37.81
Streptanthus_tortuosus	-118.59	36.43
Streptanthus_tortuosus	-119.07	37.28
Streptanthus_tortuosus	-119.82	37.57
Streptanthus_tortuosus	-119.09	36.62
Streptanthus_tortuosus	-121.13	39.29
Streptanthus_tortuosus	-118.83	36.82
Streptanthus_tortuosus	-118.67	35.68
Streptanthus_tortuosus	-118.83	36.67
Streptanthus_tortuosus	-121.11	39.68
Streptanthus_tortuosus	-120.2	38.85
Streptanthus_tortuosus	-119.99	38.4
Streptanthus_tortuosus	-120.48	39.33
Streptanthus_tortuosus	-120.85	39.42
Streptanthus_tortuosus	-120.13	39.05
Streptanthus_tortuosus	-121.03	39.51
Streptanthus_tortuosus	-120.36	39.33
Streptanthus_tortuosus	-120	38.1
Streptanthus_tortuosus	-122.85	40.04
Streptanthus_tortuosus	-123.14	40.94
Streptanthus_tortuosus	-119.98	38.73
Streptanthus_tortuosus	-120.11	38.86
Streptanthus_tortuosus	-119.93	37.64
Streptanthus_tortuosus	-122.65	40.66
Streptanthus_tortuosus	-118.55	36.04
Streptanthus_tortuosus	-123.54	40.34
Streptanthus_tortuosus	-123.54	40.36
Streptanthus_tortuosus	-120.21	38.86
Streptanthus_tortuosus	-120.09	38.88
Streptanthus_tortuosus	-120.12	38.9
Streptanthus_tortuosus	-121.54	39.6
Streptanthus_tortuosus	-120.71	39.57
Streptanthus_tortuosus	-118.99	37.59
Streptanthus_tortuosus	-120.36	39.43
Streptanthus_tortuosus	-119.97	38.67
Streptanthus_tortuosus	-119.16	37.71
Streptanthus_tortuosus	-119.58	37.06
Streptanthus_tortuosus	-121.32	39.25
Streptanthus_tortuosus	-121.54	39.6
Streptanthus_tortuosus	-120.4	38.11
Streptanthus_tortuosus	-118.94	37.69
Streptanthus_tortuosus	-120.03	38.67
Streptanthus_tortuosus	-118.94	37.68
Streptanthus_tortuosus	-119.89	38.73
Streptanthus_tortuosus	-120.69	39.7
Streptanthus_tortuosus	-119.15	37.69
Streptanthus_tortuosus	-120.24	38.03
Streptanthus_tortuosus	-118.65	35.93
Streptanthus_tortuosus	-119.57	37.73
Streptanthus_tortuosus	-122.85	40.96
Streptanthus_tortuosus	-121.27	39.89
Streptanthus_tortuosus	-121.24	39.92
Streptanthus_tortuosus	-118.97	37.07
Streptanthus_tortuosus	-123.08	39.93
Streptanthus_tortuosus	-121.34	39.65
Streptanthus_tortuosus	-122.98	41
Streptanthus_tortuosus	-121.01	39.94
Streptanthus_tortuosus	-120.38	39.42
Streptanthus_tortuosus	-120.89	39.34
Streptanthus_tortuosus	-119.92	37.66
Streptanthus_tortuosus	-123.54	40.36
Streptanthus_tortuosus	-120.39	39.33
Streptanthus_tortuosus	-122.94	39.51
Streptanthus_tortuosus	-120	38.46
Streptanthus_tortuosus	-118.89	37.56
Streptanthus_tortuosus	-120.38	38.14
Streptanthus_tortuosus	-120.86	38.79
Streptanthus_tortuosus	-121.54	39.6
Streptanthus_tortuosus	-122.63	38.67
Streptanthus_tortuosus	-121.56	39.57
Streptanthus_tortuosus	-123.59	39.89
Streptanthus_tortuosus	-119.85	37.88
Streptanthus_tortuosus	-121.25	40.04
Streptanthus_tortuosus	-119.07	37.45
Streptanthus_tortuosus	-120.89	39.78
Streptanthus_tortuosus	-120.47	39.39
Streptanthus_tortuosus	-119.06	37.68
Streptanthus_tortuosus	-121.33	39.65
Streptanthus_tortuosus	-122.36	41.04
Streptanthus_tortuosus	-118.78	36.91
Streptanthus_tortuosus	-123	39.87
Streptanthus_tortuosus	-122.94	39.8
Streptanthus_tortuosus	-118.8	36.51
Streptanthus_tortuosus	-121.66	41.58
Streptanthus_tortuosus	-121.71	41.55
Streptanthus_tortuosus	-119.09	36.91
Streptanthus_tortuosus	-121.34	39.79
Streptanthus_tortuosus	-121.45	39.84
Streptanthus_tortuosus	-121.47	39.83
Streptanthus_tortuosus	-120.63	39.61
Streptanthus_tortuosus	-123.17	39.56
Streptanthus_tortuosus	-121.15	39.64
Streptanthus_tortuosus	-123.11	39.53
Streptanthus_tortuosus	-120.78	40.2
Streptanthus_tortuosus	-121.31	39.8
Streptanthus_tortuosus	-119.23	38.05
Streptanthus_tortuosus	-123.66	39.91
Streptanthus_tortuosus	-120.38	39.32
